source,target,weight
0,2,0.3200234546952954
0,9,0.2749103798428827
0,11,0.25907012054931877
0,17,0.7446554014662463
0,38,0.28231862052123746
1,14,0.35236243844726556
1,35,0.18771930428052733
1,45,0.6765774554881557
2,19,0.35932484560373845
2,20,0.8432788930116937
2,24,0.8024076793632324
3,40,0.8994259747301813
3,49,0.4031784951815329
4,16,0.567342075567177
5,11,0.7536833080923694
5,31,0.7168953784157017
5,37,0.16019508805901364
6,14,0.6892515774040657
6,31,0.254503830662167
7,6,0.8404601323992662
7,32,0.32953097349514177
8,2,0.29587403526268014
8,14,0.7007715812947783
8,21,0.29935862372797734
9,17,0.3814070421374598
9,28,0.36890363495870593
9,35,0.4152162050717638
9,37,0.6141997184074686
9,40,0.40328309135051166
9,49,0.531535238338027
10,8,0.22190587662783232
10,23,0.3495657955157562
11,19,0.7807622690499673
11,27,0.858450062221625
12,16,0.5273080714141306
12,29,0.8528508774144826
12,35,0.21935806757892415
13,10,0.4604029636941619
13,42,0.4456229313286181
14,3,0.7050150643300457
15,43,0.6957641212521567
16,1,0.5018329201063727
16,26,0.15473659774524118
16,38,0.7369147721297694
17,5,0.7437064615801171
17,31,0.5851251944611796
18,29,0.5292578466152473
18,38,0.8073878761718818
19,16,0.39642396698754834
19,34,0.7294356723636934
19,46,0.7867249011041411
20,2,0.11188826178456708
20,7,0.6933744455633196
20,16,0.7265815967843037
21,43,0.8432674327959492
22,0,0.7958901652291506
22,5,0.6968894096045654
22,14,0.2259279176857225
22,30,0.41621071687010314
22,32,0.34113548961474943
22,37,0.6976112987438142
22,46,0.11499322926851657
23,4,0.35981454355641107
24,1,0.5058695082318225
24,4,0.7653573053304972
25,33,0.3694114975714252
26,34,0.1426055097368596
26,39,0.8446607237999625
27,0,0.16338061701657702
27,9,0.4358604350027545
27,15,0.5123005841675249
27,36,0.7308160130236122
27,43,0.5368109961661532
28,5,0.2595758669721507
28,6,0.8466967839603179
28,43,0.7960297400451137
29,8,0.15378669044968707
30,9,0.5432171498076761
30,35,0.19932889651120977
31,10,0.1363694426330736
31,26,0.4516843999363288
32,8,0.8561862432553898
32,13,0.49591536282014104
32,45,0.20962909885401634
33,20,0.4796721712680484
33,34,0.8585641366274411
33,36,0.3509539867566842
35,0,0.43064109283860696
35,4,0.5402820526236933
35,32,0.5543694949315964
36,20,0.622946693656159
37,20,0.46990264459113895
37,27,0.37562309324970766
37,33,0.4270935486553986
38,5,0.11818826185757328
38,21,0.26486529748017135
38,23,0.5782279173852422
38,25,0.6924328627838893
38,30,0.5031166791527476
39,41,0.8497278105617981
40,43,0.12705900573175244
41,2,0.5045863357544521
41,9,0.5413148487290055
41,10,0.5235341174733205
41,13,0.7505257767311279
41,38,0.1075601381233045
41,48,0.2691336447076378
42,2,0.15947844794052088
42,6,0.8430130890037274
42,26,0.4496706022747994
42,33,0.3186616229030379
43,3,0.34661396410903844
43,11,0.3831314298762071
45,5,0.8868865647615862
45,11,0.30699069632292436
45,22,0.18363948640484937
46,5,0.5912855498975359
47,4,0.38723133773709506
47,5,0.20922777172999674
47,15,0.7088452948363394
47,30,0.6751841929040346
48,5,0.3806523831622648
48,42,0.7193082323501546
49,12,0.17965979353296468
49,18,0.8664254154431779
49,37,0.4814453666087313
49,41,0.656477685830439
